danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.742,194742,0.858,0.0,10,0.364,-4.946000000000001,1,0.0483,95.04899999999999,4,0.64
0.652,181673,0.855,0.0,2,0.0404,-4.832,1,0.0441,134.009,4,0.27899999999999997
0.777,167898,0.831,0.0,8,0.105,-2.129,1,0.177,160.153,4,0.7909999999999999
0.625,241760,0.366,2.1e-05,2,0.0958,-8.388,0,0.0331,72.992,4,0.21899999999999997
0.5720000000000001,215733,0.385,0.0,7,0.231,-6.362,1,0.0308,95.79899999999999,4,0.32299999999999995
0.732,164373,0.436,0.0,1,0.10800000000000001,-7.409,0,0.11699999999999999,94.852,4,0.475
0.856,181093,0.728,1e-06,7,0.2,-3.497,1,0.0916,89.999,4,0.797
0.857,160297,0.386,0.0,1,0.0909,-6.768,1,0.251,119.93,4,0.188
0.626,228916,0.529,0.0,0,0.12,-7.561,1,0.0321,112.02799999999999,4,0.23199999999999998
0.672,201287,0.735,0.0,5,0.242,-4.7330000000000005,1,0.0457,115.741,4,0.754
0.892,195047,0.633,0.00018899999999999999,8,0.139,-7.471,1,0.0902,137.994,4,0.45899999999999996
0.8220000000000001,211984,0.765,0.0,8,0.33399999999999996,-6.67,0,0.217,145.105,4,0.642
0.825,175954,0.5720000000000001,0.0,6,0.113,-6.067,0,0.0864,141.991,4,0.568
0.653,210773,0.809,0.0,0,0.165,-4.0569999999999995,1,0.0474,92.213,4,0.55
0.6859999999999999,224483,0.8420000000000001,0.0,0,0.0683,-4.423,1,0.1,115.944,4,0.519
0.626,202621,0.88,0.0,9,0.128,-2.384,0,0.0504,95.079,4,0.534
0.743,188400,0.8809999999999999,0.0,1,0.128,-6.66,1,0.1,78.987,4,0.835
0.604,221440,0.6609999999999999,0.0,0,0.0951,-5.914,1,0.0375,107.016,4,0.506
0.752,197437,0.505,2.55e-06,9,0.10400000000000001,-7.621,1,0.253,91.97,4,0.419
0.7020000000000001,159973,0.588,0.0,5,0.198,-5.914,1,0.0563,122.945,3,0.8490000000000001
0.728,173129,0.517,1.95e-06,8,0.107,-11.404000000000002,1,0.0629,111.97399999999999,4,0.379
0.823,187453,0.419,0.0,10,0.105,-10.357999999999999,0,0.165,119.958,4,0.27699999999999997
0.752,194989,0.679,0.0,3,0.0727,-6.4639999999999995,1,0.0304,106.99,4,0.669
0.792,201526,0.895,0.0,1,0.0501,-3.112,0,0.0589,94.96799999999999,4,0.794
0.861,216000,0.33,1.93e-06,6,0.14,-7.194,1,0.0526,95.016,4,0.718
0.8,219880,0.693,0.0,1,0.12300000000000001,-5.72,1,0.0499,152.08100000000002,4,0.424
0.7190000000000001,187436,0.7040000000000001,0.0,1,0.166,-4.724,1,0.0476,133.002,4,0.628
0.875,240682,0.644,0.0,1,0.125,-6.553999999999999,1,0.222,139.086,4,0.7879999999999999
0.7070000000000001,278893,0.632,1.09e-05,10,0.0841,-7.031000000000001,1,0.0789,97.04,4,0.37200000000000005
0.7609999999999999,163974,0.598,0.0,10,0.0839,-7.249,0,0.182,173.89700000000002,4,0.447
0.728,238893,0.706,0.0,11,0.14800000000000002,-5.881,0,0.0511,140.04399999999998,4,0.589
0.55,272394,0.537,0.00025,5,0.20199999999999999,-7.587999999999999,1,0.0325,85.014,4,0.43200000000000005
0.743,202453,0.855,0.0045,5,0.099,-3.9760000000000004,0,0.0436,96.98899999999999,4,0.871
0.6920000000000001,216933,0.711,0.0,0,0.12,-7.497999999999999,0,0.0317,125.135,4,0.875
0.742,258475,0.579,0.0,0,0.0952,-5.024,1,0.20199999999999999,144.994,4,0.502
0.877,228373,0.547,1.51e-05,7,0.027999999999999997,-5.705,1,0.18,99.03399999999999,4,0.687
0.755,186080,0.769,2.38e-06,10,0.0628,-5.6579999999999995,0,0.18600000000000003,114.96600000000001,4,0.642
0.705,202573,0.7959999999999999,0.0,6,0.335,-5.2139999999999995,1,0.295,100.196,4,0.909
0.47600000000000003,217720,0.555,3.98e-05,9,0.126,-6.551,1,0.0404,131.497,3,0.426
0.635,202500,0.9,0.0145,0,0.37,-3.719,0,0.0377,127.978,4,0.15
0.284,220589,0.637,0.0,9,0.371,-4.893,1,0.0486,92.045,4,0.19699999999999998
0.7,149813,0.435,0.000549,0,0.114,-12.597000000000001,1,0.0428,141.914,4,0.21
0.95,158769,0.489,0.0,8,0.41100000000000003,-8.411,1,0.462,130.02100000000002,4,0.919
0.8859999999999999,168439,0.303,0.0,10,0.16899999999999998,-11.199000000000002,1,0.792,127.98100000000001,4,0.322
0.735,217933,0.48200000000000004,0.0144,8,0.44799999999999995,-9.445,1,0.139,181.995,4,0.315
0.5760000000000001,204067,0.44299999999999995,1.88e-06,4,0.124,-7.477,0,0.0754,180.08,3,0.452
0.88,172800,0.428,5.07e-05,9,0.114,-8.28,1,0.20600000000000002,100.007,4,0.33299999999999996
0.856,269667,0.609,8.149999999999999e-05,0,0.0344,-7.223,1,0.0824,114.988,4,0.9279999999999999
0.473,209400,0.371,0.0,4,0.109,-10.219,0,0.0405,75.208,4,0.413
0.8690000000000001,184607,0.622,0.0,5,0.0527,-5.841,1,0.23,140.039,4,0.887
0.8340000000000001,150267,0.37200000000000005,0.0,1,0.275,-11.99,1,0.0358,96.62799999999999,4,0.976
0.79,193880,0.506,0.0,7,0.0876,-7.0520000000000005,1,0.11800000000000001,105.01799999999999,4,0.456
0.46,185703,0.5670000000000001,6.04e-06,9,0.0934,-5.6370000000000005,1,0.0515,168.419,4,0.18899999999999997
0.815,255849,0.547,0.0,8,0.215,-4.041,1,0.0942,152.0,4,0.183
0.78,244324,0.7090000000000001,0.000362,6,0.11199999999999999,-7.059,0,0.0836,111.038,4,0.711
0.687,193094,0.5870000000000001,0.0,1,0.278,-5.772,0,0.124,156.575,4,0.6759999999999999
0.841,264920,0.6779999999999999,0.0,0,0.4,-4.664,0,0.18899999999999997,121.023,4,0.7170000000000001
0.799,222900,0.583,5.93e-06,7,0.136,-7.199,0,0.115,119.93,4,0.322
0.6629999999999999,151667,0.6,0.0,7,0.184,-10.87,1,0.032,129.991,4,0.8
0.855,192000,0.868,0.00187,0,0.162,-3.475,1,0.153,115.979,4,0.632
0.6,237077,0.96,0.0,4,0.0882,-1.807,1,0.095,109.863,4,0.503
0.705,138872,0.816,0.0,10,0.47600000000000003,-7.046,0,0.32,94.211,4,0.929
0.943,162444,0.7979999999999999,0.000518,4,0.07400000000000001,-4.548,0,0.0629,134.997,4,0.904
0.6729999999999999,169295,0.449,0.00115,0,0.0731,-9.727,1,0.298,161.925,4,0.21600000000000003
0.637,167107,0.856,0.0308,1,0.0809,-5.649,1,0.0337,160.06799999999998,4,0.285
0.843,208080,0.435,0.0,8,0.147,-8.442,1,0.17800000000000002,120.05799999999999,4,0.19
0.7170000000000001,217118,0.605,0.0,11,0.138,-5.68,0,0.075,81.047,4,0.387
0.659,183750,0.738,0.0,4,0.115,-5.072,0,0.0477,127.95,4,0.48100000000000004
0.7090000000000001,204453,0.7709999999999999,3.29e-06,7,0.249,-4.598,1,0.166,174.00599999999997,4,0.7090000000000001
0.727,238893,0.72,1.21e-06,11,0.17600000000000002,-5.856,0,0.0488,140.08,4,0.589
0.638,166093,0.4,0.000133,11,0.33399999999999996,-11.212,0,0.0425,150.13299999999998,4,0.495
0.6809999999999999,230453,0.594,3.49e-06,7,0.134,-7.028,1,0.282,186.054,4,0.535
0.755,205147,0.575,0.0012699999999999999,4,0.276,-8.392000000000001,0,0.0673,85.994,4,0.493
0.821,190341,0.6890000000000001,0.00013700000000000002,1,0.0974,-5.02,1,0.22899999999999998,125.47399999999999,5,0.493
0.715,260320,0.723,0.000834,7,0.102,-3.263,1,0.191,77.02,4,0.97
0.6809999999999999,179998,0.34,0.0,7,0.285,-8.617,1,0.0339,129.98,4,0.41700000000000004
0.36700000000000005,205467,0.623,0.000731,7,0.159,-9.436,1,0.0499,128.268,4,0.511
0.382,234867,0.675,0.000246,0,0.21899999999999997,-6.56,1,0.0441,106.171,1,0.449
0.665,175755,0.6509999999999999,0.0,1,0.0896,-5.515,1,0.156,163.935,4,0.237
0.778,218093,0.8240000000000001,0.0,10,0.405,-5.892,0,0.0712,100.024,4,0.7559999999999999
0.846,216277,0.809,0.0,2,0.151,-3.6189999999999998,1,0.287,85.01100000000001,4,0.267
0.44299999999999995,197413,0.608,0.000234,11,0.102,-6.707999999999999,0,0.0669,70.124,4,0.23
0.445,265096,0.773,0.153,2,0.131,-7.227,1,0.0441,191.96599999999998,4,0.313
0.772,254383,0.732,5.14e-06,9,0.106,-3.713,0,0.213,100.04799999999999,4,0.295
0.597,151915,0.857,0.0,2,0.40700000000000003,-5.7589999999999995,1,0.28,187.96400000000003,4,0.493
0.715,212493,0.872,0.000146,6,0.11,-3.5010000000000003,1,0.0547,96.939,4,0.682
0.7440000000000001,232787,0.8590000000000001,6.27e-05,11,0.0881,-3.1660000000000004,1,0.0795,91.977,4,0.787
0.319,192160,0.21,8.06e-05,1,0.138,-15.231,1,0.0341,78.696,4,0.209
0.594,191840,0.7979999999999999,0.0,4,0.14300000000000002,-5.244,1,0.0844,142.049,4,0.381
0.8220000000000001,232699,0.794,6.02e-05,2,0.139,-3.821,0,0.0689,79.983,4,0.8370000000000001
0.484,230027,0.716,0.00214,5,0.11199999999999999,-7.193,0,0.16699999999999998,184.13099999999997,4,0.365
0.48,202907,0.9440000000000001,0.00021099999999999998,5,0.0938,-6.775,0,0.17800000000000002,168.176,4,0.312
